employee_id,first_name,last_name,department_id,hire_date,salary,gender,email,phone_number
1,John,Doe,101,2020-05-10,60000,M,john.doe@example.com,555-1234
2,Jane,Smith,102,2018-11-15,75000,F,jane.smith@example.com,555-5678
3,Emily,Johnson,101,2019-03-22,58000,F,emily.johnson@example.com,555-4321
4,Michael,Brown,103,2021-06-01,65000,M,michael.brown@example.com,555-8765
5,Sarah,Davis,102,2020-08-09,72000,F,sarah.davis@example.com,555-3456
6,William,Taylor,101,2021-07-12,67000,M,william.taylor@example.com,555-6789
7,Olivia,Wilson,103,2022-03-25,71000,F,olivia.wilson@example.com,555-2345
8,David,Harris,102,2021-02-28,79000,M,david.harris@example.com,555-4567
9,Sophia,Martinez,101,2023-04-14,62000,F,sophia.martinez@example.com,555-1122
10,James,Clark,103,2019-09-03,64000,M,james.clark@example.com,555-3344
11,Isabella,Lewis,101,2020-01-20,63000,F,isabella.lewis@example.com,555-2233
12,Benjamin,Walker,102,2022-11-06,68000,M,benjamin.walker@example.com,555-6789
13,Charlotte,Allen,103,2021-08-19,69000,F,charlotte.allen@example.com,555-9988
14,Alexander,Young,101,2024-01-10,71000,M,alexander.young@example.com,555-7755
15,Mia,King,102,2020-12-05,76000,F,mia.king@example.com,555-8899
16,Lucas,Scott,103,2023-09-14,74000,M,lucas.scott@example.com,555-3322
17,Zoe,Wright,101,2022-06-20,69000,F,zoe.wright@example.com,555-1239
18,Ethan,Cooper,102,2023-02-12,70000,M,ethan.cooper@example.com,555-8761
19,Lily,Foster,103,2021-10-01,66000,F,lily.foster@example.com,555-5432
20,Noah,Jenkins,102,2020-03-17,73000,M,noah.jenkins@example.com,555-6548
21,Grace,Mitchell,101,2023-01-29,68000,F,grace.mitchell@example.com,555-1120
22,Mason,Campbell,103,2022-07-14,72000,M,mason.campbell@example.com,555-6749
23,Chloe,Perez,102,2024-03-10,76000,F,chloe.perez@example.com,555-6750
24,Ryan,Roberts,101,2020-04-25,71000,M,ryan.roberts@example.com,555-2349
25,Ava,Evans,103,2023-11-05,69000,F,ava.evans@example.com,555-9823
26,Matthew,Turner,101,2024-02-14,70000,M,matthew.turner@example.com,555-9081
27,Lily,Bell,102,2021-04-21,72000,F,lily.bell@example.com,555-3547
28,Henry,Ward,103,2023-11-20,73000,M,henry.ward@example.com,555-8905
29,Amelia,Adams,101,2022-09-11,71000,F,amelia.adams@example.com,555-6781
30,Isaac,Clark,102,2020-07-30,76000,M,isaac.clark@example.com,555-7645
